CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
2.85,130.0,207.0,76.0,3.0,82.0,44.0,26.0,7.0,18.0,42.0,0.8
1.87,94.0,166.0,71.0,2.0,70.0,39.0,27.0,7.0,17.0,18.0,0.8
1.24,45.0,111.0,66.0,2.0,60.0,33.0,28.0,4.0,16.0,357.0,0.8
1.62,69.0,135.0,66.0,2.0,40.0,19.0,33.0,3.0,15.0,181.0,0.7
1.73,64.0,128.0,64.0,2.0,58.0,30.0,40.0,2.0,14.0,189.0,0.6
1.59,67.0,128.0,61.0,2.0,79.0,47.0,39.0,2.0,14.0,177.0,1.2
2.0,96.0,154.0,58.0,3.0,69.0,37.0,40.0,3.0,14.0,116.0,0.4
3.41,238.0,305.0,66.0,3.0,88.0,46.0,42.0,6.0,14.0,130.0,0.7
3.22,308.0,409.0,101.0,4.0,116.0,53.0,33.0,10.0,16.0,127.0,0.7
2.79,175.0,306.0,131.0,5.0,121.0,62.0,27.0,7.0,18.0,113.0,1.0
2.0,87.0,217.0,130.0,12.0,113.0,65.0,20.0,5.0,20.0,50.0,1.3
1.14,30.0,122.0,91.0,38.0,108.0,69.0,13.0,3.0,23.0,12.0,1.4
0.54,4.0,36.0,33.0,86.0,78.0,53.0,8.0,2.0,26.0,25.0,1.7
0.62,2.0,32.0,30.0,110.0,46.0,26.0,7.0,2.0,26.0,293.0,2.1
0.76,2.0,44.0,41.0,125.0,52.0,35.0,4.0,2.0,28.0,276.0,1.8
0.56,1.0,32.0,31.0,133.0,56.0,39.0,2.0,2.0,29.0,39.0,2.1
0.41,0.0,22.0,22.0,127.0,47.0,35.0,0.0,1.0,29.0,46.0,2.0
0.52,1.0,34.0,33.0,121.0,35.0,23.0,1.0,2.0,29.0,33.0,1.7
0.71,1.0,53.0,52.0,71.0,44.0,25.0,5.0,1.0,28.0,82.0,2.1
0.91,2.0,61.0,60.0,53.0,48.0,24.0,20.0,2.0,25.0,46.0,2.6
0.8,4.0,53.0,49.0,20.0,75.0,29.0,28.0,1.0,23.0,6.0,3.0
0.94,9.0,63.0,54.0,10.0,65.0,23.0,34.0,1.0,22.0,317.0,2.8
0.64,4.0,42.0,38.0,17.0,79.0,31.0,42.0,2.0,20.0,303.0,3.4
1.27,22.0,81.0,59.0,3.0,48.0,18.0,31.0,3.0,20.0,330.0,1.3
0.61,3.0,38.0,34.0,14.0,64.0,28.0,55.0,8.0,17.0,292.0,2.5
0.74,4.0,41.0,37.0,9.0,62.0,32.0,58.0,38.0,17.0,245.0,1.1
0.81,13.0,58.0,45.0,2.0,81.0,44.0,61.0,21.0,16.0,142.0,1.2
0.7,4.0,41.0,36.0,5.0,59.0,37.0,67.0,13.0,15.0,82.0,1.3
0.85,23.0,60.0,38.0,1.0,53.0,37.0,71.0,11.0,14.0,115.0,1.1
0.98,37.0,76.0,39.0,1.0,70.0,51.0,74.0,9.0,13.0,133.0,0.7
1.27,56.0,93.0,37.0,1.0,66.0,46.0,77.0,7.0,13.0,138.0,0.9
1.23,63.0,105.0,41.0,1.0,75.0,50.0,75.0,13.0,13.0,2.0,0.5
1.38,91.0,141.0,50.0,3.0,81.0,53.0,72.0,14.0,14.0,71.0,1.3
1.29,54.0,112.0,58.0,10.0,94.0,64.0,66.0,17.0,16.0,21.0,1.5
1.28,26.0,89.0,63.0,26.0,107.0,76.0,55.0,18.0,18.0,241.0,1.2
1.35,14.0,87.0,73.0,55.0,113.0,81.0,43.0,15.0,21.0,227.0,1.5
