CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
2.14,50.0,123.0,74.0,2.0,67.0,31.0,31.0,7.0,16.0,103.0,1.1
2.2,68.0,138.0,70.0,2.0,66.0,31.0,34.0,7.0,15.0,53.0,0.9
1.9,52.0,112.0,61.0,2.0,64.0,32.0,38.0,6.0,14.0,122.0,1.1
1.29,12.0,69.0,57.0,5.0,65.0,32.0,41.0,5.0,13.0,134.0,1.0
0.97,5.0,55.0,50.0,9.0,63.0,33.0,41.0,5.0,12.0,31.0,0.8
1.06,20.0,71.0,51.0,6.0,54.0,33.0,41.0,5.0,11.0,41.0,1.3
1.39,34.0,87.0,53.0,2.0,46.0,23.0,44.0,5.0,11.0,45.0,1.1
2.51,114.0,170.0,56.0,3.0,58.0,29.0,48.0,7.0,11.0,48.0,1.1
1.69,50.0,104.0,54.0,11.0,88.0,41.0,37.0,6.0,13.0,28.0,1.1
1.67,32.0,102.0,70.0,20.0,81.0,37.0,30.0,6.0,16.0,20.0,1.1
2.0,31.0,132.0,101.0,29.0,91.0,48.0,24.0,7.0,18.0,34.0,1.1
1.81,19.0,114.0,96.0,54.0,100.0,57.0,18.0,7.0,21.0,18.0,1.3
0.56,3.0,24.0,21.0,82.0,105.0,63.0,11.0,6.0,23.0,16.0,1.4
0.6,3.0,29.0,26.0,89.0,47.0,28.0,9.0,6.0,24.0,53.0,1.4
0.62,3.0,30.0,27.0,99.0,47.0,28.0,7.0,6.0,25.0,25.0,1.7
0.57,2.0,24.0,22.0,104.0,44.0,25.0,4.0,5.0,26.0,16.0,1.4
0.55,1.0,20.0,19.0,113.0,41.0,24.0,3.0,5.0,27.0,7.0,1.6
0.59,1.0,22.0,21.0,110.0,44.0,26.0,4.0,6.0,26.0,6.0,1.6
0.69,1.0,24.0,23.0,83.0,48.0,29.0,16.0,5.0,24.0,11.0,1.9
1.01,1.0,37.0,36.0,63.0,75.0,25.0,24.0,5.0,22.0,9.0,1.7
1.1,1.0,48.0,47.0,32.0,77.0,30.0,30.0,5.0,21.0,5.0,1.6
1.22,9.0,67.0,57.0,6.0,70.0,25.0,38.0,5.0,19.0,22.0,1.4
0.96,9.0,59.0,50.0,8.0,71.0,24.0,45.0,5.0,18.0,20.0,1.5
1.55,47.0,109.0,62.0,1.0,54.0,20.0,33.0,6.0,18.0,112.0,1.3
0.69,1.0,34.0,32.0,15.0,65.0,24.0,62.0,5.0,15.0,26.0,1.3
0.6,1.0,28.0,27.0,16.0,60.0,31.0,70.0,5.0,14.0,19.0,1.6
0.57,1.0,26.0,25.0,15.0,49.0,27.0,75.0,6.0,13.0,7.0,1.3
0.64,2.0,29.0,27.0,12.0,49.0,30.0,79.0,11.0,12.0,5.0,1.4
0.64,2.0,29.0,27.0,9.0,47.0,28.0,87.0,12.0,11.0,4.0,1.7
0.64,3.0,30.0,28.0,6.0,57.0,39.0,93.0,9.0,10.0,5.0,1.4
0.74,7.0,38.0,31.0,3.0,58.0,37.0,93.0,6.0,10.0,6.0,1.1
0.98,23.0,58.0,35.0,3.0,69.0,44.0,92.0,7.0,10.0,8.0,1.1
1.01,20.0,53.0,33.0,10.0,63.0,39.0,85.0,15.0,12.0,6.0,1.2
0.84,14.0,44.0,30.0,21.0,71.0,46.0,77.0,16.0,13.0,8.0,1.4
0.94,13.0,54.0,41.0,32.0,78.0,52.0,67.0,16.0,15.0,77.0,1.2
1.03,10.0,59.0,49.0,57.0,92.0,60.0,50.0,14.0,18.0,24.0,1.3
0.88,5.0,46.0,41.0,81.0,109.0,70.0,34.0,11.0,21.0,52.0,1.4
0.5,2.0,21.0,19.0,89.0,94.0,62.0,17.0,7.0,24.0,46.0,1.6
0.47,2.0,18.0,16.0,102.0,53.0,31.0,12.0,7.0,25.0,23.0,1.7
0.53,1.0,18.0,17.0,120.0,49.0,32.0,11.0,7.0,25.0,31.0,1.6
0.54,1.0,18.0,17.0,118.0,49.0,35.0,10.0,8.0,26.0,21.0,1.7
0.47,1.0,17.0,16.0,94.0,56.0,34.0,9.0,6.0,25.0,4.0,2.0
0.6,1.0,26.0,26.0,66.0,45.0,24.0,12.0,5.0,24.0,3.0,1.9
0.8,1.0,35.0,34.0,49.0,43.0,20.0,23.0,5.0,22.0,4.0,2.1
0.72,1.0,31.0,30.0,27.0,66.0,26.0,27.0,4.0,21.0,10.0,1.9
0.71,1.0,30.0,28.0,25.0,51.0,18.0,29.0,4.0,19.0,14.0,1.5
1.01,10.0,68.0,58.0,5.0,44.0,19.0,29.0,4.0,18.0,89.0,1.5
0.97,25.0,65.0,40.0,1.0,30.0,10.0,25.0,4.0,18.0,155.0,1.6
1.93,50.0,108.0,58.0,2.0,64.0,23.0,37.0,7.0,17.0,118.0,1.0
2.01,57.0,109.0,52.0,2.0,61.0,28.0,39.0,6.0,16.0,38.0,1.1
1.43,36.0,83.0,47.0,2.0,63.0,25.0,45.0,6.0,15.0,10.0,1.1
1.15,14.0,58.0,44.0,2.0,73.0,29.0,49.0,7.0,14.0,58.0,0.9
1.4,23.0,68.0,45.0,2.0,61.0,26.0,53.0,6.0,13.0,26.0,0.8
1.15,21.0,66.0,44.0,3.0,73.0,34.0,52.0,5.0,13.0,48.0,0.8
1.2,14.0,57.0,42.0,2.0,55.0,27.0,56.0,5.0,12.0,66.0,1.2
1.29,24.0,64.0,41.0,5.0,58.0,30.0,56.0,5.0,12.0,75.0,1.1
