date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP,datetime,station,traffic_level,year,month,day,hour,minute
23/02/2024 13:00,0.54,4.0,36.0,33.0,86.0,78.0,53.0,8.0,2.0,26.0,25.0,1.7,2024-02-23 13:00:00,MER,,2024,2,23,13,0
23/02/2024 14:00,0.62,2.0,32.0,30.0,110.0,46.0,26.0,7.0,2.0,26.0,293.0,2.1,2024-02-23 14:00:00,MER,,2024,2,23,14,0
23/02/2024 15:00,0.76,2.0,44.0,41.0,125.0,52.0,35.0,4.0,2.0,28.0,276.0,1.8,2024-02-23 15:00:00,MER,,2024,2,23,15,0
23/02/2024 16:00,0.56,1.0,32.0,31.0,133.0,56.0,39.0,2.0,2.0,29.0,39.0,2.1,2024-02-23 16:00:00,MER,,2024,2,23,16,0
23/02/2024 17:00,0.41,0.0,22.0,22.0,127.0,47.0,35.0,0.0,1.0,29.0,46.0,2.0,2024-02-23 17:00:00,MER,,2024,2,23,17,0
23/02/2024 18:00,0.52,1.0,34.0,33.0,121.0,35.0,23.0,1.0,2.0,29.0,33.0,1.7,2024-02-23 18:00:00,MER,,2024,2,23,18,0
23/02/2024 19:00,0.71,1.0,53.0,52.0,71.0,44.0,25.0,5.0,1.0,28.0,82.0,2.1,2024-02-23 19:00:00,MER,,2024,2,23,19,0
23/02/2024 20:00,0.91,2.0,61.0,60.0,53.0,48.0,24.0,20.0,2.0,25.0,46.0,2.6,2024-02-23 20:00:00,MER,,2024,2,23,20,0
23/02/2024 21:00,0.8,4.0,53.0,49.0,20.0,75.0,29.0,28.0,1.0,23.0,6.0,3.0,2024-02-23 21:00:00,MER,,2024,2,23,21,0
23/02/2024 22:00,0.94,9.0,63.0,54.0,10.0,65.0,23.0,34.0,1.0,22.0,317.0,2.8,2024-02-23 22:00:00,MER,,2024,2,23,22,0
23/02/2024 23:00,0.64,4.0,42.0,38.0,17.0,79.0,31.0,42.0,2.0,20.0,303.0,3.4,2024-02-23 23:00:00,MER,,2024,2,23,23,0
24/02/2024 00:00,1.27,22.0,81.0,59.0,3.0,48.0,18.0,31.0,3.0,20.0,330.0,1.3,2024-02-24 00:00:00,MER,,2024,2,24,0,0
24/02/2024 18:00,0.39,0.0,24.0,23.0,97.0,68.0,46.0,10.0,3.0,27.0,27.0,2.6,2024-02-24 18:00:00,MER,,2024,2,24,18,0
24/02/2024 19:00,0.64,3.0,43.0,40.0,64.0,45.0,24.0,12.0,3.0,26.0,350.0,3.3,2024-02-24 19:00:00,MER,,2024,2,24,19,0
24/02/2024 21:00,0.6,1.0,33.0,32.0,32.0,53.0,25.0,22.0,0.0,23.0,4.0,2.8,2024-02-24 21:00:00,MER,,2024,2,24,21,0
24/02/2024 22:00,0.73,3.0,38.0,36.0,25.0,47.0,17.0,26.0,0.0,22.0,350.0,2.1,2024-02-24 22:00:00,MER,,2024,2,24,22,0
24/02/2024 23:00,1.06,13.0,66.0,53.0,7.0,53.0,18.0,27.0,1.0,21.0,293.0,1.9,2024-02-24 23:00:00,MER,,2024,2,24,23,0
25/02/2024 00:00,0.87,24.0,63.0,39.0,2.0,35.0,14.0,20.0,1.0,20.0,297.0,2.1,2024-02-25 00:00:00,MER,,2024,2,25,0,0
25/02/2024 11:00,1.19,23.0,91.0,68.0,37.0,83.0,51.0,29.0,3.0,21.0,29.0,1.1,2024-02-25 11:00:00,MER,,2024,2,25,11,0
25/02/2024 12:00,0.83,5.0,45.0,40.0,76.0,88.0,55.0,20.0,2.0,24.0,304.0,1.6,2024-02-25 12:00:00,MER,,2024,2,25,12,0
25/02/2024 13:00,0.6,1.0,27.0,26.0,98.0,55.0,35.0,15.0,2.0,26.0,335.0,2.5,2024-02-25 13:00:00,MER,,2024,2,25,13,0
25/02/2024 14:00,0.42,2.0,22.0,20.0,86.0,52.0,34.0,10.0,1.0,27.0,339.0,3.7,2024-02-25 14:00:00,MER,,2024,2,25,14,0
25/02/2024 15:00,0.33,2.0,16.0,14.0,78.0,44.0,28.0,9.0,0.0,28.0,347.0,3.8,2024-02-25 15:00:00,MER,,2024,2,25,15,0
25/02/2024 16:00,0.32,2.0,16.0,14.0,71.0,24.0,13.0,7.0,0.0,29.0,341.0,4.2,2024-02-25 16:00:00,MER,,2024,2,25,16,0
25/02/2024 17:00,0.27,1.0,12.0,11.0,68.0,28.0,7.0,7.0,0.0,29.0,3.0,4.0,2024-02-25 17:00:00,MER,,2024,2,25,17,0
25/02/2024 18:00,0.25,1.0,13.0,11.0,53.0,35.0,13.0,8.0,0.0,28.0,2.0,4.8,2024-02-25 18:00:00,MER,,2024,2,25,18,0
25/02/2024 19:00,0.28,1.0,16.0,15.0,39.0,29.0,4.0,10.0,0.0,27.0,17.0,4.6,2024-02-25 19:00:00,MER,,2024,2,25,19,0
25/02/2024 20:00,0.32,2.0,25.0,23.0,26.0,32.0,6.0,12.0,0.0,25.0,27.0,4.5,2024-02-25 20:00:00,MER,,2024,2,25,20,0
25/02/2024 21:00,0.33,1.0,21.0,19.0,23.0,32.0,6.0,14.0,0.0,23.0,17.0,3.4,2024-02-25 21:00:00,MER,,2024,2,25,21,0
25/02/2024 22:00,0.44,3.0,26.0,23.0,17.0,40.0,8.0,16.0,0.0,22.0,356.0,2.5,2024-02-25 22:00:00,MER,,2024,2,25,22,0
25/02/2024 23:00,0.72,17.0,52.0,35.0,6.0,72.0,5.0,18.0,0.0,21.0,335.0,1.7,2024-02-25 23:00:00,MER,,2024,2,25,23,0
26/02/2024 00:00,0.61,6.0,44.0,38.0,7.0,50.0,19.0,21.0,1.0,21.0,300.0,2.6,2024-02-26 00:00:00,MER,,2024,2,26,0,0
26/02/2024 01:00,0.77,17.0,54.0,37.0,2.0,52.0,9.0,23.0,0.0,19.0,299.0,1.8,2024-02-26 01:00:00,MER,,2024,2,26,1,0
26/02/2024 02:00,0.75,16.0,52.0,36.0,2.0,32.0,12.0,26.0,0.0,18.0,303.0,0.8,2024-02-26 02:00:00,MER,,2024,2,26,2,0
26/02/2024 03:00,0.78,20.0,55.0,35.0,2.0,25.0,14.0,29.0,0.0,17.0,16.0,1.3,2024-02-26 03:00:00,MER,,2024,2,26,3,0
26/02/2024 12:00,0.95,19.0,74.0,55.0,34.0,65.0,39.0,13.0,1.0,24.0,13.0,1.5,2024-02-26 12:00:00,MER,,2024,2,26,12,0
26/02/2024 13:00,0.5,7.0,32.0,25.0,45.0,45.0,27.0,8.0,1.0,26.0,351.0,2.4,2024-02-26 13:00:00,MER,,2024,2,26,13,0
26/02/2024 14:00,0.33,2.0,17.0,15.0,55.0,25.0,17.0,6.0,0.0,27.0,56.0,2.3,2024-02-26 14:00:00,MER,,2024,2,26,14,0
26/02/2024 17:00,0.53,8.0,36.0,29.0,60.0,27.0,1.0,4.0,1.0,29.0,307.0,2.5,2024-02-26 17:00:00,MER,,2024,2,26,17,0
26/02/2024 18:00,0.6,8.0,40.0,32.0,52.0,26.0,10.0,4.0,0.0,29.0,278.0,2.7,2024-02-26 18:00:00,MER,,2024,2,26,18,0
26/02/2024 19:00,0.9,13.0,63.0,50.0,28.0,30.0,11.0,5.0,1.0,28.0,328.0,2.4,2024-02-26 19:00:00,MER,,2024,2,26,19,0
26/02/2024 20:00,0.81,6.0,58.0,52.0,29.0,60.0,12.0,13.0,1.0,26.0,44.0,2.8,2024-02-26 20:00:00,MER,,2024,2,26,20,0
26/02/2024 21:00,0.86,26.0,90.0,65.0,16.0,56.0,16.0,19.0,1.0,24.0,43.0,2.6,2024-02-26 21:00:00,MER,,2024,2,26,21,0
26/02/2024 22:00,0.67,7.0,50.0,42.0,7.0,64.0,22.0,18.0,0.0,22.0,16.0,2.5,2024-02-26 22:00:00,MER,,2024,2,26,22,0
26/02/2024 23:00,0.88,21.0,62.0,41.0,3.0,39.0,12.0,19.0,1.0,22.0,323.0,1.8,2024-02-26 23:00:00,MER,,2024,2,26,23,0
27/02/2024 01:00,0.53,5.0,43.0,37.0,7.0,39.0,13.0,22.0,1.0,20.0,308.0,2.7,2024-02-27 01:00:00,MER,,2024,2,27,1,0
27/02/2024 02:00,0.52,5.0,43.0,38.0,6.0,40.0,15.0,23.0,2.0,19.0,257.0,1.3,2024-02-27 02:00:00,MER,,2024,2,27,2,0
27/02/2024 03:00,0.62,10.0,50.0,41.0,4.0,30.0,14.0,26.0,1.0,18.0,259.0,0.8,2024-02-27 03:00:00,MER,,2024,2,27,3,0
27/02/2024 04:00,0.86,34.0,78.0,44.0,2.0,27.0,15.0,30.0,1.0,17.0,195.0,0.5,2024-02-27 04:00:00,MER,,2024,2,27,4,0
27/02/2024 05:00,0.94,34.0,81.0,47.0,1.0,34.0,21.0,34.0,1.0,16.0,194.0,0.5,2024-02-27 05:00:00,MER,,2024,2,27,5,0
27/02/2024 13:00,0.61,5.0,33.0,29.0,66.0,60.0,48.0,13.0,3.0,26.0,307.0,1.8,2024-02-27 13:00:00,MER,,2024,2,27,13,0
27/02/2024 14:00,0.54,3.0,28.0,25.0,84.0,37.0,31.0,9.0,2.0,27.0,342.0,1.9,2024-02-27 14:00:00,MER,,2024,2,27,14,0
