date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP,datetime,station,traffic_level,year,month,day,hour,minute
23/02/2024 05:00,0.97,5.0,55.0,50.0,9.0,63.0,33.0,41.0,5.0,12.0,31.0,0.8,2024-02-23 05:00:00,UIZ,,2024,2,23,5,0
23/02/2024 14:00,0.6,3.0,29.0,26.0,89.0,47.0,28.0,9.0,6.0,24.0,53.0,1.4,2024-02-23 14:00:00,UIZ,,2024,2,23,14,0
23/02/2024 15:00,0.62,3.0,30.0,27.0,99.0,47.0,28.0,7.0,6.0,25.0,25.0,1.7,2024-02-23 15:00:00,UIZ,,2024,2,23,15,0
23/02/2024 16:00,0.57,2.0,24.0,22.0,104.0,44.0,25.0,4.0,5.0,26.0,16.0,1.4,2024-02-23 16:00:00,UIZ,,2024,2,23,16,0
23/02/2024 17:00,0.55,1.0,20.0,19.0,113.0,41.0,24.0,3.0,5.0,27.0,7.0,1.6,2024-02-23 17:00:00,UIZ,,2024,2,23,17,0
23/02/2024 18:00,0.59,1.0,22.0,21.0,110.0,44.0,26.0,4.0,6.0,26.0,6.0,1.6,2024-02-23 18:00:00,UIZ,,2024,2,23,18,0
23/02/2024 19:00,0.69,1.0,24.0,23.0,83.0,48.0,29.0,16.0,5.0,24.0,11.0,1.9,2024-02-23 19:00:00,UIZ,,2024,2,23,19,0
23/02/2024 20:00,1.01,1.0,37.0,36.0,63.0,75.0,25.0,24.0,5.0,22.0,9.0,1.7,2024-02-23 20:00:00,UIZ,,2024,2,23,20,0
23/02/2024 21:00,1.1,1.0,48.0,47.0,32.0,77.0,30.0,30.0,5.0,21.0,5.0,1.6,2024-02-23 21:00:00,UIZ,,2024,2,23,21,0
23/02/2024 23:00,0.96,9.0,59.0,50.0,8.0,71.0,24.0,45.0,5.0,18.0,20.0,1.5,2024-02-23 23:00:00,UIZ,,2024,2,23,23,0
24/02/2024 01:00,0.69,1.0,34.0,32.0,15.0,65.0,24.0,62.0,5.0,15.0,26.0,1.3,2024-02-24 01:00:00,UIZ,,2024,2,24,1,0
24/02/2024 02:00,0.6,1.0,28.0,27.0,16.0,60.0,31.0,70.0,5.0,14.0,19.0,1.6,2024-02-24 02:00:00,UIZ,,2024,2,24,2,0
24/02/2024 15:00,0.47,2.0,18.0,16.0,102.0,53.0,31.0,12.0,7.0,25.0,23.0,1.7,2024-02-24 15:00:00,UIZ,,2024,2,24,15,0
24/02/2024 16:00,0.53,1.0,18.0,17.0,120.0,49.0,32.0,11.0,7.0,25.0,31.0,1.6,2024-02-24 16:00:00,UIZ,,2024,2,24,16,0
24/02/2024 18:00,0.47,1.0,17.0,16.0,94.0,56.0,34.0,9.0,6.0,25.0,4.0,2.0,2024-02-24 18:00:00,UIZ,,2024,2,24,18,0
24/02/2024 19:00,0.6,1.0,26.0,26.0,66.0,45.0,24.0,12.0,5.0,24.0,3.0,1.9,2024-02-24 19:00:00,UIZ,,2024,2,24,19,0
24/02/2024 20:00,0.8,1.0,35.0,34.0,49.0,43.0,20.0,23.0,5.0,22.0,4.0,2.1,2024-02-24 20:00:00,UIZ,,2024,2,24,20,0
24/02/2024 21:00,0.72,1.0,31.0,30.0,27.0,66.0,26.0,27.0,4.0,21.0,10.0,1.9,2024-02-24 21:00:00,UIZ,,2024,2,24,21,0
24/02/2024 22:00,0.71,1.0,30.0,28.0,25.0,51.0,18.0,29.0,4.0,19.0,14.0,1.5,2024-02-24 22:00:00,UIZ,,2024,2,24,22,0
25/02/2024 09:00,1.0,11.0,44.0,33.0,23.0,62.0,29.0,46.0,5.0,13.0,76.0,1.2,2024-02-25 09:00:00,UIZ,,2024,2,25,9,0
25/02/2024 10:00,1.08,11.0,50.0,39.0,33.0,59.0,26.0,38.0,5.0,16.0,17.0,1.1,2024-02-25 10:00:00,UIZ,,2024,2,25,10,0
25/02/2024 12:00,0.79,6.0,43.0,37.0,64.0,84.0,47.0,25.0,6.0,21.0,122.0,1.6,2024-02-25 12:00:00,UIZ,,2024,2,25,12,0
25/02/2024 13:00,0.42,2.0,17.0,15.0,72.0,66.0,38.0,16.0,5.0,23.0,67.0,2.2,2024-02-25 13:00:00,UIZ,,2024,2,25,13,0
25/02/2024 14:00,0.37,1.0,11.0,10.0,76.0,43.0,20.0,13.0,5.0,24.0,12.0,2.3,2024-02-25 14:00:00,UIZ,,2024,2,25,14,0
25/02/2024 15:00,0.37,1.0,12.0,11.0,76.0,34.0,15.0,12.0,5.0,25.0,105.0,2.2,2024-02-25 15:00:00,UIZ,,2024,2,25,15,0
25/02/2024 16:00,0.34,1.0,10.0,8.0,63.0,33.0,12.0,9.0,4.0,26.0,55.0,2.7,2024-02-25 16:00:00,UIZ,,2024,2,25,16,0
25/02/2024 17:00,0.3,2.0,10.0,8.0,56.0,55.0,11.0,8.0,4.0,27.0,23.0,3.1,2024-02-25 17:00:00,UIZ,,2024,2,25,17,0
