date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
23/02/2024 01:00,2.85,130,207,76,3,82,44,26,7,18,42,0.8
23/02/2024 02:00,1.87,94,166,71,2,70,39,27,7,17,18,0.8
23/02/2024 03:00,1.24,45,111,66,2,60,33,28,4,16,357,
23/02/2024 04:00,1.62,69,135,66,2,40,19,33,3,15,181,0.7
23/02/2024 05:00,1.73,64,128,64,2,58,30,40,2,14,189,0.6
23/02/2024 06:00,1.59,67,128,61,2,79,47,39,2,14,177,1.2
23/02/2024 07:00,2,96,154,58,3,69,37,40,3,14,116,0.4
23/02/2024 08:00,3.41,238,305,66,3,88,46,42,6,14,130,0.7
23/02/2024 09:00,3.22,308,409,101,4,116,53,33,10,16,127,0.7
23/02/2024 10:00,2.79,175,306,131,5,121,62,27,7,18,113,1
23/02/2024 11:00,2,87,217,130,12,113,65,20,5,20,50,1.3
23/02/2024 12:00,1.14,30,122,91,38,108,69,13,3,23,12,1.4
23/02/2024 13:00,0.54,4,36,33,86,78,53,8,2,26,25,1.7
23/02/2024 14:00,0.62,2,32,30,110,46,26,7,2,26,293,2.1
23/02/2024 15:00,0.76,2,44,41,125,52,35,4,2,28,276,1.8
23/02/2024 16:00,0.56,1,32,31,133,56,39,2,2,29,39,2.1
23/02/2024 17:00,0.41,0,22,22,127,47,35,0,1,29,46,2
23/02/2024 18:00,0.52,1,34,33,121,35,23,1,2,29,33,1.7
23/02/2024 19:00,0.71,1,53,52,71,44,25,5,1,28,82,2.1
23/02/2024 20:00,0.91,2,61,60,53,48,24,20,2,25,46,2.6
23/02/2024 21:00,0.8,4,53,49,20,75,29,28,1,23,6,3
23/02/2024 22:00,0.94,9,63,54,10,65,23,34,1,22,317,2.8
23/02/2024 23:00,0.64,4,42,38,17,79,31,42,2,20,303,3.4
24/02/2024 00:00,1.27,22,81,59,3,48,18,31,3,20,330,1.3
24/02/2024 01:00,0.61,3,38,34,14,64,28,55,8,17,292,2.5
24/02/2024 02:00,0.74,4,41,37,9,62,32,58,38,17,245,1.1
24/02/2024 03:00,0.81,13,58,45,2,81,44,61,21,16,142,1.2
24/02/2024 04:00,0.7,4,41,36,5,59,37,67,13,15,82,1.3
24/02/2024 05:00,0.85,23,60,38,1,53,37,71,11,14,115,1.1
24/02/2024 06:00,0.98,37,76,39,1,70,51,74,9,13,133,0.7
24/02/2024 07:00,1.27,56,93,37,1,66,46,77,7,13,138,0.9
24/02/2024 08:00,1.23,63,105,41,1,75,50,75,13,13,2,0.5
24/02/2024 09:00,1.38,91,141,50,3,81,53,72,14,14,71,1.3
24/02/2024 10:00,1.29,54,112,58,10,94,64,66,17,16,21,1.5
24/02/2024 11:00,1.28,26,89,63,26,107,76,55,18,18,241,1.2
24/02/2024 12:00,1.35,14,87,73,55,113,81,43,15,21,227,1.5
24/02/2024 13:00,0.98,5,60,54,86,121,97,29,9,24,31,1.6
24/02/2024 14:00,0.54,1,24,23,107,93,70,16,4,26,330,2.1
24/02/2024 15:00,0.68,1,28,27,147,53,38,15,6,27,324,1.9
24/02/2024 16:00,0.62,0,23,24,166,77,59,13,6,28,52,2
24/02/2024 17:00,0.53,0,22,23,147,79,56,11,5,28,31,2.7
24/02/2024 18:00,0.39,0,24,23,97,68,46,10,3,27,27,2.6
24/02/2024 19:00,0.64,3,43,40,64,45,24,12,3,26,350,3.3
24/02/2024 20:00,0.74,3,46,43,46,46,21,19,4,25,346,3.3
24/02/2024 21:00,0.6,1,33,32,32,53,25,22,0,23,4,2.8
24/02/2024 22:00,0.73,3,38,36,25,47,17,26,0,22,350,2.1
24/02/2024 23:00,1.06,13,66,53,7,53,18,27,1,21,293,1.9
25/02/2024 00:00,0.87,24,63,39,2,35,14,20,1,20,297,2.1
25/02/2024 01:00,1.14,9,66,57,6,49,22,33,5,19,282,
25/02/2024 02:00,1.22,23,81,57,3,56,32,37,4,18,47,0.7
