type,road_type,traffic_level,traffic_road_coverage,road_closure,road_category,road_subcategory,left_hand_traffic,coordinates,date,time,station
LINESTRING,,0.559000015,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,10:35:26,MER
LINESTRING,,0.409000009,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,10:04:30,MER
LINESTRING,,0.104999997,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,11:34:55,MER
LINESTRING,,0.532000005,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,11:48:24,MER
LINESTRING,,0.52700001,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,11:05:11,MER
LINESTRING,,0.690999985,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,12:18:10,MER
LINESTRING,,0.317999989,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,12:03:26,MER
LINESTRING,,0.164000005,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,12:32:57,MER
LINESTRING,,0.586000025,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,12:47:48,MER
LINESTRING,,0.632000029,full,,primary,,,"[[19.424477059181264, -99.12001624703407], [19.42455041669, -99.12004306912422], [19.42469207256894, -99.12010878324509], [19.424737604815746, -99.12015169858932]]",04/03/2024,13:18:07,MER
