type,road_type,traffic_level,traffic_road_coverage,road_closure,road_category,road_subcategory,left_hand_traffic,coordinates,date,time,station,streetID
LINESTRING,,0.79400003,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,14:27:02,UIZ,25403
LINESTRING,,0.864000022,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,14:48:21,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,14:05:37,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,14:05:37,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,15:29:01,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,15:29:01,UIZ,25403
LINESTRING,,0.744000018,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,15:50:08,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:11:11,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:11:11,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:31:09,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:31:09,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:32:19,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:32:19,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:41:19,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",23/02/2024,16:41:19,UIZ,25403
LINESTRING,,0.970000029,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",26/02/2024,13:50:04,UIZ,25403
LINESTRING,,0.944999993,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",26/02/2024,13:57:36,UIZ,25403
